Round Number,Match Date,Location,Home Team,Away Team,Result
1,23/02/2025 01:30,GEODIS Park,Nashville,New England,0 - 0
2,02/03/2025 00:30,Sports Illustrated Stadium,New York,Nashville,2 - 0
3,09/03/2025 01:30,GEODIS Park,Nashville,Portland,2 - 0
4,16/03/2025 18:25,Subaru Park,Philadelphia,Nashville,1 - 3
5,23/03/2025 00:30,GEODIS Park,Nashville,Montréal,3 - 0
6,30/03/2025 00:30,GEODIS Park,Nashville,Cincinnati,1 - 2
7,05/04/2025 18:30,Bank of America Stadium,Charlotte,Nashville,2 - 1
8,13/04/2025 00:30,GEODIS Park,Nashville,Salt Lake,2 - 1
9,19/04/2025 23:30,Lumen Field,Seattle,Nashville,3 - 0
10,27/04/2025 00:30,GEODIS Park,Nashville,Chicago,7 - 2
11,03/05/2025 18:45,Mercedes-Benz Stadium,Atlanta,Nashville,1 - 1
12,11/05/2025 00:30,GEODIS Park,Nashville,Charlotte,2 - 1
13,15/05/2025 00:30,GEODIS Park,Nashville,New York,2 - 1
14,18/05/2025 00:30,GEODIS Park,Nashville,D.C.,0 - 0
15,24/05/2025 23:30,BMO Field,Toronto,Nashville,1 - 2
16,29/05/2025 00:00,Lower.com Field,Columbus,Nashville,2 - 2
17,31/05/2025 20:30,GEODIS Park,Nashville,New York City,2 - 2
19,15/06/2025 00:30,Soldier Field,Chicago,Nashville,0 - 2
20,25/06/2025 23:30,Gillette Stadium,New England,Nashville,2 - 3
21,28/06/2025 23:30,Audi Field,D.C.,Nashville,0 - 1
22,06/07/2025 00:30,GEODIS Park,Nashville,Philadelphia,1 - 0
23,12/07/2025 23:45,Chase Stadium,Miami,Nashville,2 - 1
24,17/07/2025 00:30,GEODIS Park,Nashville,Columbus,3 - 0
25,20/07/2025 01:15,GEODIS Park,Nashville,Toronto,1 - 0
26,26/07/2025 02:30,Snapdragon Stadium,San Diego,Nashville,1 - 0
27,10/08/2025 00:30,Energizer Park,St. Louis,Nashville,3 - 1
28,17/08/2025 21:00,Yankee Stadium,New York City,Nashville,2 - 1
29,24/08/2025 00:30,GEODIS Park,Nashville,Orlando,5 - 1
30,31/08/2025 00:30,GEODIS Park,Nashville,Atlanta,0 - 1
32,13/09/2025 23:30,TQL Stadium,Cincinnati,Nashville,2 - 1
34,20/09/2025 23:30,Inter&Co Stadium,Orlando,Nashville,3 - 2
36,28/09/2025 00:30,GEODIS Park,Nashville,Houston,3 - 1
37,04/10/2025 18:30,Stade Saputo,Montréal,Nashville,1 - 1
38,18/10/2025 22:00,GEODIS Park,Nashville,Miami,2 - 5
